Route	1	121.591907,31.286229	东陆路	7：20	0.jpg	18：49																						
Route	1	121.59371,31.276292	张杨北路，五莲路	7：25	1.jpg	18：44																						
Route	1	121.59227,31.268026	张杨北路，长岛路	7：30	2.jpg	18：40																						
Route	1	121.573642,31.253483	居家桥路	7：35	3.jpg	18：35																						
Route	1	121.456869,31.0265	微软上海园区	8：47	4.jpg	17：30																						
Route	2	121.552349,31.249693	栖山路，苗圃路	7：30	5.jpg	18：50																						
Route	2	121.551222,31.241135	张杨路，民生路	7：35	6.jpg	18：45																						
Route	2	121.538222,31.22953	浦电路地铁站	7：45	7.jpg	---																						
Route	2	121.533915,31.234505	世纪大道地铁站	---	8.jpg	18：39																						
Route	2	121.538076,31.153691	杨高南路，三林路	8：05	9.jpg	18：20																						
Route	2	121.512316,31.101804	浦江镇	8：26	10.jpg	17：54																						
Route	2	121.473964,31.050485	吴泾镇	8：38	11.jpg	17：40																						
Route	2	121.456869,31.0265	微软上海园区	8：50	12.jpg	17：30																						
Route	5	121.517231,31.236958	东昌路，浦城路站	7：40	13.jpg	19：20																						
Route	5	121.533412,31.216108	东方路，蓝村路	7：50	14.jpg	19：10																						
Route	5	121.532768,31.200065	由由新村	7：55	15.jpg	19：00																						
Route	5	121.516424,31.079318	联航路地铁站	8：26	16.jpg	18：30																						
Route	5	121.51832,31.066699	沈杜公路地铁站	8：28	17.jpg	18：28																						
Route	5	121.456869,31.0265	微软上海园区	8：55	18.jpg	18：00																						
Route	6	121.622154,31.210598	张江路，建中路	7：35	19.jpg	18：50																						
Route	6	121.614005,31.218501	郭守敬路，张江路	7：40	20.jpg	18：45																						
Route	6	121.604947,31.209767	金科路，祖冲之路	7：45	21.jpg	18：35																						
Route	6	121.59661,31.198242	科苑路，华佗路	7：50	22.jpg	18：30																						
Route	6	121.456869,31.0265	微软上海园区	8：55	23.jpg	17：30																						
Route	7	121.557297,31.215494	世纪公园地铁站	7：37	24.jpg	18：45																						
Route	7	121.564092,31.210344	龙阳路地铁站	7：45	25.jpg	18：30																						
Route	7	121.547468,31.185693	成山路，锦绣路	7：55	26.jpg	18：20																						
Route	7	121.475123,31.044751	龙吴路，广南路	8：45	27.jpg	17：45																						
Route	7	121.456869,31.0265	微软上海园区	9：00	28.jpg	17：30																						
Route	9	121.533915,31.234505	世纪大道地铁站	---	29.jpg	19：30																						
Route	9	121.516356,31.190458	高科西路，东明路	7：45	30.jpg	19：13																						
Route	9	121.516308,31.181341	东明路，昌里路	7：48	31.jpg	19：10																						
Route	9	121.502884,31.175482	上南路，成山路	7：55	32.jpg	19：00																						
Route	9	121.504,31.167434	上南路，杨思路	8：00	33.jpg	18：50																						
Route	9	121.512126,31.156379	上南路，杨南路	8：05	34.jpg	18：40																						
Route	9	121.456869,31.0265	微软上海园区	8：47	35.jpg	18：00																						
Route	10	121.503597,31.268079	天宝路，临平路	7：20	36.jpg	19：10																						
Route	10	121.494814,31.284977	曲阳路，玉田路	7：35	37.jpg	18：55																						
Route	10	121.456869,31.0265	微软上海园区	8：55	38.jpg	17：30																						
Route	11	121.529799,31.289081	黄兴路，抚顺路	7：22	39.jpg	18：55																						
Route	11	121.523976,31.306707	五角场	7：32	40.jpg	18：45																						
Route	11	121.456869,31.0265	微软上海园区	8：53	41.jpg	17：30																						
Route	12	121.440831,31.369123	水产西路，蕰川公路	7：25	42.jpg	19：06																						
Route	12	121.44842,31.33629	通河路地铁站	7：33	43.jpg	18：58																						
Route	12	121.456869,31.0265	微软上海园区	8：55	44.jpg	17：30																						
Route	13	121.460725,31.279404	共和新路，延长路	7：35	45.jpg	18：55																						
Route	13	121.460639,31.285691	广中路，广延路	7：45	46.jpg	18：45																						
Route	13	121.456869,31.0265	微软上海园区	8：55	47.jpg	17：30																						
Route	14	121.396996,31.326373	锦秋路（上海大学）	7：30	48.jpg	19：25																						
Route	14	121.415916,31.275108	真华路，新村路	7：50	49.jpg	19：05																						
Route	14	121.456869,31.0265	微软上海园区	8：55	50.jpg	18：00																						
Route	15	121.422964,31.23852	白玉路，宁夏路	---	51.jpg	19：25																						
Route	15	121.425974,31.242939	曹杨路，白玉路	7：50	52.jpg	19：20																						
Route	15	121.412098,31.251047	曹杨八村	7：55	53.jpg	19：10																						
Route	15	121.456869,31.0265	微软上海园区	8：55	54.jpg	18：00																						
Route	16	121.438694,31.243666	叶家宅路	7：30	55.jpg	19：25																						
Route	16	121.424016,31.226058	中山公园	7：50	56.jpg	19：05																						
Route	16	121.456869,31.0265	微软上海园区	8：55	57.jpg	18：00																						
Route	17	121.395243,31.22011	天山路，天中路	8：00	58.jpg	18：50																						
Route	17	121.39062,31.213395	威宁路	8：08	59.jpg	18：40																						
Route	17	121.456869,31.0265	微软上海园区	8：55	60.jpg	18：00																						
Route	18	121.483571,31.234966	人民广场	7：40	61.jpg	19：25																						
Route	18	121.492279,31.219234	西藏南路，大林路	7：50	62.jpg	19：20																						
